Value,Panel,Age,NR.mu,labs
1,oakverticals,73,2.6666666666666665,Somewhat natural
1,oakverticals,56,4,Somewhat natural
-1,oakverticals,61,3.8,Somewhat artificial
1,oakverticals,63,4.6,Somewhat natural
2,oakverticals,66,4.2,Natural
1,oakverticals,46,4,Somewhat natural
-1,oakverticals,50,3.8,Somewhat artificial
0,oakverticals,41,2.8,Neutral
2,oakverticals,48,3.2,Natural
2,oakverticals,43,3.4,Natural
0,oakverticals,39,4,Neutral
1,oakverticals,63,3.6,Somewhat natural
0,oakverticals,53,4.2,Neutral
-1,oakverticals,50,4.2,Somewhat artificial
-1,oakverticals,44,3.2,Somewhat artificial
0,oakverticals,44,3,Neutral
1,oakverticals,53,4,Somewhat natural
1,oakverticals,65,3.8,Somewhat natural
1,oakverticals,54,4.4,Somewhat natural
1,oakverticals,52,3.2,Somewhat natural
2,oakverticals,62,4.4,Natural
0,oakverticals,83,4.4,Neutral
2,oakverticals,38,4,Natural
1,oakverticals,66,3.8,Somewhat natural
2,oakverticals,57,3.6,Natural
0,oakverticals,52,3.8,Neutral
-1,oakverticals,45,4,Somewhat artificial
1,oakverticals,28,2.25,Somewhat natural
1,oakverticals,38,2.25,Somewhat natural
1,oakverticals,52,4.75,Somewhat natural
2,oakverticals,68,4.2,Natural
0,oakverticals,34,3.4,Neutral
2,oakverticals,25,4.2,Natural
0,oakverticals,25,3.3333333333333335,Neutral
-1,oakverticals,30,4.2,Somewhat artificial
0,oakverticals,39,3.2,Neutral
-1,oakverticals,46,4.4,Somewhat artificial
2,oakverticals,52,4.2,Natural
2,oakverticals,64,4.4,Natural
1,oakverticals,40,5,Somewhat natural
2,oakverticals,50,3.4,Natural
2,oakverticals,75,4.2,Natural
-1,oakverticals,27,4,Somewhat artificial
1,oakverticals,58,3.2,Somewhat natural
1,oakverticals,61,4.6,Somewhat natural
1,oakverticals,23,4.4,Somewhat natural
-1,oakverticals,25,3.4,Somewhat artificial
-1,oakverticals,34,3.5,Somewhat artificial
0,oakverticals,26,4,Neutral
0,oakverticals,48,1.6,Neutral
0,oakverticals,61,4.8,Neutral
0,oakverticals,41,4,Neutral
0,oakverticals,48,4.6,Neutral
0,oakverticals,35,2.25,Neutral
0,oakverticals,24,3.25,Neutral
1,oakverticals,62,3,Somewhat natural
0,oakverticals,22,3.2,Neutral
0,oakverticals,30,4,Neutral
0,oakverticals,29,4,Neutral
0,oakverticals,33,4.4,Neutral
1,oakverticals,41,4.6,Somewhat natural
2,oakverticals,63,2.2,Natural
2,oakverticals,51,4,Natural
2,oakverticals,53,3.2,Natural
-1,oakverticals,22,3.8,Somewhat artificial
0,oakverticals,25,3.4,Neutral
1,oakverticals,27,3.8,Somewhat natural
0,oakverticals,25,4,Neutral
-1,oakverticals,26,3,Somewhat artificial
-1,oakverticals,93,4.8,Somewhat artificial
-1,oakverticals,26,2.8,Somewhat artificial
2,oakverticals,62,2.6,Natural
0,oakverticals,22,2.75,Neutral
1,oakverticals,25,3.8,Somewhat natural
1,oakverticals,27,3.8,Somewhat natural
1,oakverticals,25,4.5,Somewhat natural
0,oakverticals,25,3.6,Neutral
0,oakverticals,57,3.6,Neutral
0,oakverticals,23,3.5,Neutral
1,oakverticals,25,3.8,Somewhat natural
-1,oakverticals,60,4.25,Somewhat artificial
0,oakverticals,28,4.4,Neutral
2,oakverticals,58,4,Natural
2,oakverticals,36,4.6,Natural
-1,oakverticals,28,2.6,Somewhat artificial
1,oakverticals,25,4.25,Somewhat natural
1,oakverticals,48,3.8,Somewhat natural
1,oakverticals,32,2.75,Somewhat natural
0,oakverticals,25,3.8,Neutral
-1,oakverticals,42,4.2,Somewhat artificial
0,oakverticals,46,3.6,Neutral
0,oakverticals,32,4.8,Neutral
-1,oakverticals,24,4.8,Somewhat artificial
1,oakverticals,23,4.6,Somewhat natural
-1,oakverticals,1,4.2,Somewhat artificial
-2,oakverticals,32,3.6,Artificial
1,oakverticals,28,4,Somewhat natural
1,oakverticals,21,4.2,Somewhat natural
-1,oakverticals,32,4.2,Somewhat artificial
1,oakverticals,28,3.8,Somewhat natural
-1,oakverticals,19,3,Somewhat artificial
0,oakverticals,42,3.75,Neutral
0,oakverticals,53,4,Neutral
0,oakverticals,19,4,Neutral
-1,oakverticals,19,3.2,Somewhat artificial
0,oakverticals,19,4,Neutral
-2,oakverticals,19,3.8,Artificial
2,oakverticals,26,4.8,Natural
2,oakverticals,19,3.4,Natural
0,oakverticals,55,3.75,Neutral
1,oakverticals,25,4.8,Somewhat natural
1,oakverticals,49,3.2,Somewhat natural
0,oakverticals,63,4.2,Neutral
0,oakverticals,19,3.8,Neutral
1,oakverticals,26,3.6,Somewhat natural
0,oakverticals,55,5,Neutral
0,oakverticals,19,4.2,Neutral
-1,oakverticals,69,3.6,Somewhat artificial
2,oakverticals,27,3.8,Natural
0,oakverticals,33,4.2,Neutral
2,oakverticals,30,4,Natural
-2,oakverticals,30,2.8,Artificial
2,oakverticals,30,4.5,Natural
0,oakverticals,32,3.4,Neutral
-1,oakverticals,31,4.2,Somewhat artificial
2,oakverticals,32,3.4,Natural
-2,oakverticals,31,3,Artificial
-1,oakverticals,32,2.75,Somewhat artificial
2,oakverticals,62,4,Natural
1,oakverticals,32,2.8,Somewhat natural
-1,oakverticals,31,4.8,Somewhat artificial
1,oakverticals,42,4.25,Somewhat natural
-2,oakverticals,32,3,Artificial
2,oakverticals,60,3.6,Natural
1,oakverticals,32,2.25,Somewhat natural
1,oakverticals,43,4.2,Somewhat natural
2,oakverticals,41,4.6,Natural
0,oakverticals,36,4.2,Neutral
1,oakverticals,42,3.4,Somewhat natural
-1,oakverticals,32,4.25,Somewhat artificial
0,oakverticals,55,4,Neutral
1,oakverticals,25,3.8,Somewhat natural
2,oakverticals,52,3,Natural
1,oakverticals,49,3.6,Somewhat natural
2,oakverticals,43,4.4,Natural
1,oakverticals,48,4.6,Somewhat natural
1,oakverticals,25,4.5,Somewhat natural
1,oakverticals,53,4.4,Somewhat natural
0,oakverticals,40,4.6,Neutral
1,oakverticals,30,4.2,Somewhat natural
1,oakverticals,38,4,Somewhat natural
0,oakverticals,44,4.25,Neutral
0,oakverticals,41,4.2,Neutral
0,oakverticals,59,3.8,Neutral
-2,oakverticals,31,3.8,Artificial
0,oakverticals,59,3.8,Neutral
0,oakverticals,44,4.2,Neutral
1,oakverticals,43,4.25,Somewhat natural
2,oakverticals,56,3.6,Natural
1,oakverticals,36,2.6,Somewhat natural
-2,oakverticals,25,1.6666666666666667,Artificial
0,oakverticals,37,2.2,Neutral
-1,oakverticals,30,4.4,Somewhat artificial
1,oakverticals,30,4.5,Somewhat natural
1,oakverticals,58,3.6,Somewhat natural
-1,oakverticals,34,4.4,Somewhat artificial
1,oakverticals,59,3.4,Somewhat natural
1,oakverticals,32,4,Somewhat natural
-1,oakverticals,20,3.6,Somewhat artificial
-1,oakverticals,19,3.4,Somewhat artificial
0,oakverticals,19,3.6,Neutral
-2,oakverticals,34,3.75,Artificial
2,oakverticals,40,4.8,Natural
-1,oakverticals,46,3.6,Somewhat artificial
2,oakverticals,48,3.25,Natural
-1,oakverticals,58,3.2,Somewhat artificial
0,oakverticals,33,4,Neutral
0,oakverticals,99,3,Neutral
-1,oakverticals,52,4.6,Somewhat artificial
2,oakverticals,31,3.25,Natural
0,oakverticals,36,3.2,Neutral
2,oakverticals,44,4.4,Natural
2,oakverticals,60,4.4,Natural
2,oakverticals,36,3.2,Natural
0,oakverticals,40,3.6,Neutral
2,oakverticals,59,5,Natural
2,oakverticals,66,4.4,Natural
2,oakverticals,44,3.8,Natural
-1,oakverticals,40,3.8,Somewhat artificial
0,oakverticals,45,3.4,Neutral
0,oakverticals,48,4.2,Neutral
-1,oakverticals,54,2.6,Somewhat artificial
2,oakverticals,53,3.8,Natural
2,oakverticals,51,4,Natural
-1,oakverticals,60,4.8,Somewhat artificial
1,oakverticals,33,2,Somewhat natural
-1,oakverticals,52,1.8,Somewhat artificial
1,oakverticals,62,3,Somewhat natural
2,oakverticals,35,2.6,Natural
0,oakverticals,51,4.8,Neutral
-1,oakverticals,50,3.6,Somewhat artificial
0,oakverticals,47,4.8,Neutral
1,oakverticals,24,4.6,Somewhat natural
-2,cleavedpattern,65,4.4,Artificial
1,cleavedpattern,50,3.25,Somewhat natural
2,cleavedpattern,43,4.8,Natural
2,cleavedpattern,51,4,Natural
2,cleavedpattern,66,5,Natural
0,cleavedpattern,41,2.8,Neutral
2,cleavedpattern,37,4,Natural
1,cleavedpattern,58,1.4,Somewhat natural
0,cleavedpattern,60,3.2,Neutral
1,cleavedpattern,32,4.6,Somewhat natural
1,cleavedpattern,50,2.5,Somewhat natural
0,cleavedpattern,58,4,Neutral
1,cleavedpattern,59,3.4,Somewhat natural
2,cleavedpattern,79,4.4,Natural
2,cleavedpattern,49,3.8,Natural
1,cleavedpattern,68,4.2,Somewhat natural
1,cleavedpattern,54,4.4,Somewhat natural
-1,cleavedpattern,73,3.8,Somewhat artificial
2,cleavedpattern,58,4.4,Natural
0,cleavedpattern,57,4.8,Neutral
1,cleavedpattern,70,4.6,Somewhat natural
0,cleavedpattern,45,3.8,Neutral
0,cleavedpattern,23,4,Neutral
-1,cleavedpattern,44,3.5,Somewhat artificial
1,cleavedpattern,38,3.8,Somewhat natural
1,cleavedpattern,73,4.2,Somewhat natural
1,cleavedpattern,50,2.8,Somewhat natural
-2,cleavedpattern,47,2.4,Artificial
2,cleavedpattern,58,4.8,Natural
2,cleavedpattern,56,4.8,Natural
0,cleavedpattern,84,3,Neutral
-2,cleavedpattern,38,4.6,Artificial
2,cleavedpattern,56,4.2,Natural
0,cleavedpattern,40,3.2,Neutral
2,cleavedpattern,54,3.25,Natural
1,cleavedpattern,61,4.75,Somewhat natural
1,cleavedpattern,60,3.4,Somewhat natural
2,cleavedpattern,49,4,Natural
0,cleavedpattern,26,2.8,Neutral
-1,cleavedpattern,26,2.5,Somewhat artificial
-1,cleavedpattern,23,3,Somewhat artificial
2,cleavedpattern,26,3.4,Natural
2,cleavedpattern,28,4,Natural
0,cleavedpattern,25,3,Neutral
2,cleavedpattern,63,3.3333333333333335,Natural
-1,cleavedpattern,65,3.8,Somewhat artificial
0,cleavedpattern,27,4.2,Neutral
2,cleavedpattern,58,4,Natural
2,cleavedpattern,41,4,Natural
0,cleavedpattern,62,4,Neutral
-1,cleavedpattern,47,3.4,Somewhat artificial
2,cleavedpattern,45,4.6,Natural
0,cleavedpattern,33,4.2,Neutral
-1,cleavedpattern,33,3.2,Somewhat artificial
2,cleavedpattern,56,5,Natural
1,cleavedpattern,38,3,Somewhat natural
1,cleavedpattern,37,4,Somewhat natural
1,cleavedpattern,40,3.2,Somewhat natural
2,cleavedpattern,48,3.4,Natural
0,cleavedpattern,57,1,Neutral
1,cleavedpattern,62,4.4,Somewhat natural
1,cleavedpattern,52,2.6,Somewhat natural
1,cleavedpattern,40,4.8,Somewhat natural
-1,cleavedpattern,53,4.25,Somewhat artificial
2,cleavedpattern,29,4.2,Natural
1,cleavedpattern,56,4.25,Somewhat natural
0,cleavedpattern,25,4.75,Neutral
0,cleavedpattern,40,5,Neutral
1,cleavedpattern,49,4.6,Somewhat natural
0,cleavedpattern,56,5,Neutral
1,cleavedpattern,59,4.2,Somewhat natural
0,cleavedpattern,25,5,Neutral
1,cleavedpattern,66,3,Somewhat natural
2,cleavedpattern,44,4.4,Natural
2,cleavedpattern,39,4.6,Natural
2,cleavedpattern,60,4.8,Natural
1,cleavedpattern,53,4.2,Somewhat natural
2,cleavedpattern,72,3.8,Natural
1,cleavedpattern,57,4.8,Somewhat natural
2,cleavedpattern,31,4.2,Natural
2,cleavedpattern,44,4.2,Natural
2,cleavedpattern,59,3.8,Natural
0,cleavedpattern,36,2.2,Neutral
1,cleavedpattern,59,3.75,Somewhat natural
1,cleavedpattern,53,4.8,Somewhat natural
2,cleavedpattern,50,3.2,Natural
2,cleavedpattern,64,4.2,Natural
1,cleavedpattern,38,3.75,Somewhat natural
0,cleavedpattern,50,4,Neutral
2,cleavedpattern,36,4.6,Natural
2,cleavedpattern,61,3.8,Natural
1,cleavedpattern,51,5,Somewhat natural
2,cleavedpattern,47,4.6,Natural
-1,cleavedpattern,57,3.6,Somewhat artificial
2,cleavedpattern,73,2.6666666666666665,Natural
0,cleavedpattern,65,3.2,Neutral
2,cleavedpattern,60,3.4,Natural
2,cleavedpattern,80,4.4,Natural
2,cleavedpattern,56,4,Natural
-1,cleavedpattern,61,3.8,Somewhat artificial
2,cleavedpattern,46,4,Natural
0,cleavedpattern,63,4.6,Neutral
2,cleavedpattern,66,4.2,Natural
0,cleavedpattern,41,2.8,Neutral
1,cleavedpattern,50,3.8,Somewhat natural
2,cleavedpattern,48,3.2,Natural
2,cleavedpattern,43,3.4,Natural
0,cleavedpattern,39,4,Neutral
2,cleavedpattern,53,4.2,Natural
1,cleavedpattern,44,3,Somewhat natural
-1,cleavedpattern,63,3.6,Somewhat artificial
-1,cleavedpattern,44,3.2,Somewhat artificial
1,cleavedpattern,52,3.2,Somewhat natural
0,cleavedpattern,65,3.8,Neutral
1,cleavedpattern,83,4.4,Somewhat natural
0,cleavedpattern,53,4,Neutral
1,cleavedpattern,54,4.4,Somewhat natural
1,cleavedpattern,62,4.4,Somewhat natural
1,cleavedpattern,66,3.8,Somewhat natural
2,cleavedpattern,38,4,Natural
2,cleavedpattern,57,3.6,Natural
-1,cleavedpattern,52,3.8,Somewhat artificial
1,cleavedpattern,28,2.25,Somewhat natural
1,cleavedpattern,45,4,Somewhat natural
2,cleavedpattern,52,4.75,Natural
-1,cleavedpattern,38,2.25,Somewhat artificial
0,cleavedpattern,34,3.4,Neutral
2,cleavedpattern,68,4.2,Natural
1,cleavedpattern,25,4.2,Somewhat natural
2,cleavedpattern,25,3.3333333333333335,Natural
-2,cleavedpattern,30,4.2,Artificial
0,cleavedpattern,39,3.2,Neutral
1,cleavedpattern,46,4.4,Somewhat natural
2,cleavedpattern,64,4.4,Natural
2,cleavedpattern,52,4.2,Natural
1,cleavedpattern,40,5,Somewhat natural
1,cleavedpattern,50,3.4,Somewhat natural
0,cleavedpattern,75,4.2,Neutral
2,cleavedpattern,58,3.2,Natural
-1,cleavedpattern,27,4,Somewhat artificial
-2,cleavedpattern,61,4.6,Artificial
0,cleavedpattern,25,3.4,Neutral
1,cleavedpattern,23,4.4,Somewhat natural
-1,cleavedpattern,34,3.5,Somewhat artificial
0,cleavedpattern,26,4,Neutral
0,cleavedpattern,48,1.6,Neutral
1,cleavedpattern,61,4.8,Somewhat natural
1,cleavedpattern,41,4,Somewhat natural
1,cleavedpattern,48,4.6,Somewhat natural
0,cleavedpattern,35,2.25,Neutral
-2,cleavedpattern,62,3,Artificial
1,cleavedpattern,24,3.25,Somewhat natural
1,cleavedpattern,22,3.2,Somewhat natural
-1,cleavedpattern,30,4,Somewhat artificial
1,cleavedpattern,29,4,Somewhat natural
-1,cleavedpattern,33,4.4,Somewhat artificial
2,cleavedpattern,41,4.6,Natural
1,cleavedpattern,63,2.2,Somewhat natural
1,cleavedpattern,51,4,Somewhat natural
1,cleavedpattern,53,3.2,Somewhat natural
0,cleavedpattern,22,3.8,Neutral
-1,cleavedpattern,25,3.4,Somewhat artificial
-1,cleavedpattern,30,2.75,Somewhat artificial
0,cleavedpattern,27,3.8,Neutral
-1,cleavedpattern,25,4,Somewhat artificial
0,cleavedpattern,26,3,Neutral
-1,cleavedpattern,93,4.8,Somewhat artificial
-2,cleavedpattern,26,2.8,Artificial
2,cleavedpattern,62,2.6,Natural
0,cleavedpattern,22,2.75,Neutral
-1,cleavedpattern,25,3.8,Somewhat artificial
0,cleavedpattern,27,3.8,Neutral
1,cleavedpattern,25,3.6,Somewhat natural
0,cleavedpattern,25,4.5,Neutral
1,cleavedpattern,57,3.6,Somewhat natural
1,cleavedpattern,23,3.5,Somewhat natural
1,cleavedpattern,25,3.8,Somewhat natural
1,cleavedpattern,60,4.25,Somewhat natural
-2,cleavedpattern,28,4.4,Artificial
2,cleavedpattern,58,4,Natural
2,cleavedpattern,36,4.6,Natural
-1,cleavedpattern,28,2.6,Somewhat artificial
1,cleavedpattern,25,4.25,Somewhat natural
1,cleavedpattern,48,3.8,Somewhat natural
2,cleavedpattern,32,2.75,Natural
1,cleavedpattern,25,3.8,Somewhat natural
1,cleavedpattern,42,4.2,Somewhat natural
1,cleavedpattern,46,3.6,Somewhat natural
2,cleavedpattern,32,4.8,Natural
1,cleavedpattern,23,4.6,Somewhat natural
-1,cleavedpattern,24,4.8,Somewhat artificial
1,cleavedpattern,1,4.2,Somewhat natural
1,cleavedpattern,35,3,Somewhat natural
2,cleavedpattern,32,3.6,Natural
0,cleavedpattern,28,4,Neutral
0,cleavedpattern,21,4.2,Neutral
1,cleavedpattern,32,4.2,Somewhat natural
0,cleavedpattern,28,3.8,Neutral
1,cleavedpattern,19,3,Somewhat natural
2,cleavedpattern,58,3.5,Natural
2,cleavedpattern,42,3.75,Natural
0,cleavedpattern,53,4,Neutral
0,cleavedpattern,19,4,Neutral
2,cleavedpattern,19,3.2,Natural
0,cleavedpattern,19,4,Neutral
-2,cleavedpattern,19,3.8,Artificial
1,cleavedpattern,26,4.8,Somewhat natural
0,cleavedpattern,19,3.4,Neutral
1,cleavedpattern,55,3.75,Somewhat natural
2,cleavedpattern,49,3.2,Natural
2,cleavedpattern,25,4.8,Natural
-1,cleavedpattern,63,4.2,Somewhat artificial
1,cleavedpattern,19,3.8,Somewhat natural
2,cleavedpattern,26,3.6,Natural
2,cleavedpattern,55,5,Natural
2,cleavedpattern,19,4.2,Natural
0,cleavedpattern,69,3.6,Neutral
1,cleavedpattern,27,3.8,Somewhat natural
2,cleavedpattern,33,4.2,Natural
2,cleavedpattern,30,4,Natural
-1,cleavedpattern,30,2.8,Somewhat artificial
2,cleavedpattern,30,4.5,Natural
2,cleavedpattern,32,3.4,Natural
0,cleavedpattern,31,4.2,Neutral
0,cleavedpattern,32,3.4,Neutral
-1,cleavedpattern,31,3,Somewhat artificial
2,cleavedpattern,32,2.75,Natural
2,cleavedpattern,62,4,Natural
-1,cleavedpattern,32,2.8,Somewhat artificial
2,cleavedpattern,31,4.8,Natural
2,cleavedpattern,42,4.25,Natural
-2,cleavedpattern,32,3,Artificial
-2,cleavedpattern,60,3.6,Artificial
-1,cleavedpattern,32,2.25,Somewhat artificial
2,cleavedpattern,43,4.2,Natural
1,cleavedpattern,41,4.6,Somewhat natural
1,cleavedpattern,36,4.2,Somewhat natural
2,cleavedpattern,42,3.4,Natural
-1,cleavedpattern,32,4.25,Somewhat artificial
1,cleavedpattern,55,4,Somewhat natural
2,cleavedpattern,30,3.4,Natural
-2,cleavedpattern,25,3.8,Artificial
2,cleavedpattern,52,3,Natural
1,cleavedpattern,49,3.6,Somewhat natural
2,cleavedpattern,43,4.4,Natural
1,cleavedpattern,48,4.6,Somewhat natural
2,cleavedpattern,25,4.5,Natural
-1,cleavedpattern,53,4.4,Somewhat artificial
1,cleavedpattern,40,4.6,Somewhat natural
2,cleavedpattern,30,4.2,Natural
0,cleavedpattern,38,4,Neutral
2,cleavedpattern,44,4.25,Natural
0,cleavedpattern,41,4.2,Neutral
0,cleavedpattern,59,3.8,Neutral
0,cleavedpattern,31,3.8,Neutral
0,cleavedpattern,59,3.8,Neutral
2,cleavedpattern,44,4.2,Natural
2,cleavedpattern,43,4.25,Natural
2,cleavedpattern,56,3.6,Natural
1,cleavedpattern,36,2.6,Somewhat natural
-2,cleavedpattern,25,1.6666666666666667,Artificial
0,cleavedpattern,37,2.2,Neutral
0,cleavedpattern,30,4.4,Neutral
1,cleavedpattern,58,3.6,Somewhat natural
1,cleavedpattern,59,3.4,Somewhat natural
0,cleavedpattern,32,4,Neutral
0,cleavedpattern,20,3.6,Neutral
2,cleavedpattern,19,3.4,Natural
-2,cleavedpattern,19,3.6,Artificial
-2,cleavedpattern,34,3.75,Artificial
2,cleavedpattern,40,4.8,Natural
-2,cleavedpattern,46,3.6,Artificial
2,cleavedpattern,48,3.25,Natural
2,cleavedpattern,58,3.2,Natural
0,cleavedpattern,33,4,Neutral
0,cleavedpattern,99,3,Neutral
0,cleavedpattern,52,4.6,Neutral
-1,cleavedpattern,31,3.25,Somewhat artificial
1,cleavedpattern,36,3.2,Somewhat natural
2,cleavedpattern,44,4.4,Natural
2,cleavedpattern,60,4.4,Natural
2,cleavedpattern,36,3.2,Natural
2,cleavedpattern,59,5,Natural
0,cleavedpattern,40,3.6,Neutral
2,cleavedpattern,66,4.4,Natural
2,cleavedpattern,44,3.8,Natural
1,cleavedpattern,40,3.8,Somewhat natural
-1,cleavedpattern,45,3.4,Somewhat artificial
0,cleavedpattern,48,4.2,Neutral
1,cleavedpattern,54,2.6,Somewhat natural
2,cleavedpattern,53,3.8,Natural
1,cleavedpattern,60,4.8,Somewhat natural
1,cleavedpattern,51,4,Somewhat natural
0,cleavedpattern,33,2,Neutral
1,cleavedpattern,52,1.8,Somewhat natural
1,cleavedpattern,62,3,Somewhat natural
2,cleavedpattern,35,2.6,Natural
1,cleavedpattern,51,4.8,Somewhat natural
1,cleavedpattern,50,3.6,Somewhat natural
2,cleavedpattern,47,4.8,Natural
2,cleavedpattern,24,4.6,Natural
1,singlebrown,65,4.4,Somewhat natural
1,singlebrown,50,3.25,Somewhat natural
2,singlebrown,43,4.8,Natural
2,singlebrown,51,4,Natural
2,singlebrown,66,5,Natural
0,singlebrown,41,2.8,Neutral
2,singlebrown,37,4,Natural
1,singlebrown,58,1.4,Somewhat natural
0,singlebrown,60,3.2,Neutral
2,singlebrown,32,4.6,Natural
2,singlebrown,50,2.5,Natural
1,singlebrown,58,4,Somewhat natural
1,singlebrown,59,3.4,Somewhat natural
2,singlebrown,79,4.4,Natural
1,singlebrown,49,3.8,Somewhat natural
2,singlebrown,68,4.2,Natural
2,singlebrown,54,4.4,Natural
1,singlebrown,73,3.8,Somewhat natural
1,singlebrown,58,4.4,Somewhat natural
1,singlebrown,57,4.8,Somewhat natural
1,singlebrown,45,3.8,Somewhat natural
1,singlebrown,70,4.6,Somewhat natural
2,singlebrown,23,4,Natural
2,singlebrown,44,3.5,Natural
1,singlebrown,38,3.8,Somewhat natural
1,singlebrown,73,4.2,Somewhat natural
1,singlebrown,50,2.8,Somewhat natural
2,singlebrown,47,2.4,Natural
2,singlebrown,58,4.8,Natural
2,singlebrown,56,4.8,Natural
-1,singlebrown,84,3,Somewhat artificial
2,singlebrown,38,4.6,Natural
2,singlebrown,56,4.2,Natural
0,singlebrown,40,3.2,Neutral
2,singlebrown,54,3.25,Natural
1,singlebrown,61,4.75,Somewhat natural
1,singlebrown,60,3.4,Somewhat natural
1,singlebrown,49,4,Somewhat natural
2,singlebrown,26,2.8,Natural
-1,singlebrown,26,2.5,Somewhat artificial
0,singlebrown,23,3,Neutral
0,singlebrown,26,3.4,Neutral
2,singlebrown,28,4,Natural
2,singlebrown,25,3,Natural
1,singlebrown,63,3.3333333333333335,Somewhat natural
2,singlebrown,65,3.8,Natural
1,singlebrown,27,4.2,Somewhat natural
2,singlebrown,58,4,Natural
2,singlebrown,41,4,Natural
0,singlebrown,62,4,Neutral
-1,singlebrown,47,3.4,Somewhat artificial
0,singlebrown,45,4.6,Neutral
0,singlebrown,33,4.2,Neutral
1,singlebrown,33,3.2,Somewhat natural
2,singlebrown,56,5,Natural
2,singlebrown,38,3,Natural
1,singlebrown,37,4,Somewhat natural
0,singlebrown,40,3.2,Neutral
2,singlebrown,57,1,Natural
1,singlebrown,48,3.4,Somewhat natural
2,singlebrown,62,4.4,Natural
2,singlebrown,52,2.6,Natural
2,singlebrown,40,4.8,Natural
2,singlebrown,53,4.25,Natural
1,singlebrown,29,4.2,Somewhat natural
1,singlebrown,56,4.25,Somewhat natural
1,singlebrown,25,4.75,Somewhat natural
0,singlebrown,40,5,Neutral
0,singlebrown,49,4.6,Neutral
2,singlebrown,56,5,Natural
1,singlebrown,59,4.2,Somewhat natural
1,singlebrown,25,5,Somewhat natural
1,singlebrown,66,3,Somewhat natural
2,singlebrown,44,4.4,Natural
2,singlebrown,39,4.6,Natural
0,singlebrown,60,4.8,Neutral
2,singlebrown,53,4.2,Natural
2,singlebrown,72,3.8,Natural
0,singlebrown,57,4.8,Neutral
2,singlebrown,31,4.2,Natural
2,singlebrown,44,4.2,Natural
2,singlebrown,59,3.8,Natural
1,singlebrown,59,3.75,Somewhat natural
1,singlebrown,53,4.8,Somewhat natural
2,singlebrown,50,3.2,Natural
2,singlebrown,64,4.2,Natural
1,singlebrown,38,3.75,Somewhat natural
2,singlebrown,50,4,Natural
2,singlebrown,61,3.8,Natural
2,singlebrown,36,4.6,Natural
2,singlebrown,51,5,Natural
0,singlebrown,57,3.6,Neutral
2,singlebrown,47,4.6,Natural
2,singlebrown,60,3.4,Natural
1,singlebrown,65,3.2,Somewhat natural
1,singlebrown,73,2.6666666666666665,Somewhat natural
1,singlebrown,56,4,Somewhat natural
1,singlebrown,80,4.4,Somewhat natural
-1,singlebrown,61,3.8,Somewhat artificial
0,singlebrown,63,4.6,Neutral
1,singlebrown,46,4,Somewhat natural
2,singlebrown,66,4.2,Natural
1,singlebrown,50,3.8,Somewhat natural
-2,singlebrown,41,2.8,Artificial
2,singlebrown,48,3.2,Natural
2,singlebrown,43,3.4,Natural
1,singlebrown,63,3.6,Somewhat natural
0,singlebrown,39,4,Neutral
0,singlebrown,53,4.2,Neutral
2,singlebrown,50,4.2,Natural
2,singlebrown,53,4,Natural
0,singlebrown,52,3.2,Neutral
2,singlebrown,44,3,Natural
2,singlebrown,44,3.2,Natural
2,singlebrown,48,4.6,Natural
2,singlebrown,54,4.4,Natural
1,singlebrown,65,3.8,Somewhat natural
2,singlebrown,62,4.4,Natural
0,singlebrown,83,4.4,Neutral
0,singlebrown,38,4,Neutral
1,singlebrown,66,3.8,Somewhat natural
0,singlebrown,57,3.6,Neutral
1,singlebrown,28,2.25,Somewhat natural
1,singlebrown,52,3.8,Somewhat natural
1,singlebrown,45,4,Somewhat natural
-1,singlebrown,38,2.25,Somewhat artificial
2,singlebrown,68,4.2,Natural
2,singlebrown,34,3.4,Natural
2,singlebrown,25,4.2,Natural
1,singlebrown,25,3.3333333333333335,Somewhat natural
0,singlebrown,30,4.2,Neutral
1,singlebrown,39,3.2,Somewhat natural
1,singlebrown,46,4.4,Somewhat natural
2,singlebrown,52,4.2,Natural
1,singlebrown,40,5,Somewhat natural
2,singlebrown,64,4.4,Natural
-2,singlebrown,50,3.4,Artificial
0,singlebrown,75,4.2,Neutral
1,singlebrown,27,4,Somewhat natural
1,singlebrown,58,3.2,Somewhat natural
0,singlebrown,61,4.6,Neutral
1,singlebrown,23,4.4,Somewhat natural
1,singlebrown,25,3.4,Somewhat natural
0,singlebrown,34,3.5,Neutral
1,singlebrown,26,4,Somewhat natural
1,singlebrown,48,1.6,Somewhat natural
2,singlebrown,61,4.8,Natural
0,singlebrown,41,4,Neutral
-1,singlebrown,35,2.25,Somewhat artificial
1,singlebrown,24,3.25,Somewhat natural
0,singlebrown,62,3,Neutral
0,singlebrown,22,3.2,Neutral
0,singlebrown,30,4,Neutral
1,singlebrown,29,4,Somewhat natural
0,singlebrown,41,4.6,Neutral
-2,singlebrown,33,4.4,Artificial
1,singlebrown,63,2.2,Somewhat natural
0,singlebrown,51,4,Neutral
2,singlebrown,53,3.2,Natural
0,singlebrown,22,3.8,Neutral
1,singlebrown,25,3.4,Somewhat natural
2,singlebrown,30,2.75,Natural
1,singlebrown,27,3.8,Somewhat natural
1,singlebrown,25,4,Somewhat natural
2,singlebrown,26,3,Natural
1,singlebrown,93,4.8,Somewhat natural
0,singlebrown,26,2.8,Neutral
2,singlebrown,62,2.6,Natural
